Time [s],Channel,Value
0.002877965,1,5286
0.002889305,2,5286
0.002900645,1,6411
0.002911990,2,6411
0.002923330,1,7543
0.002934670,2,7543
0.002946010,1,8345
0.002957355,2,8345
0.002968695,1,9482
0.002980035,2,9482
0.002991375,1,10604
0.003002720,2,10604
0.003014060,1,11895
0.003025400,2,11895
0.003036745,1,12751
0.003048085,2,12751
0.003059425,1,13949
0.003070765,2,13949
0.003082110,1,14595
0.003093450,2,14595
0.003104790,1,15515
0.003116135,2,15515
0.003127475,1,16197
0.003138815,2,16197
0.003150155,1,16854
0.003161500,2,16854
0.003172840,1,17867
0.003184180,2,17867
0.003195525,1,18360
0.003206865,2,18360
0.003218205,1,18873
0.003229545,2,18873
0.003240890,1,19187
0.003252230,2,19187
0.003263570,1,19492
0.003274910,2,19492
0.003286255,1,19455
0.003297595,2,19455
0.003308935,1,19675
0.003320275,2,19675
0.003331620,1,19981
0.003342960,2,19981
0.003354300,1,19920
0.003365645,2,19920
0.003376985,1,19931
0.003388325,2,19931
0.003399670,1,19764
0.003411010,2,19764
0.003422350,1,19832
0.003433690,2,19832
0.003445030,1,19332
0.003456375,2,19332
0.003467715,1,18939
0.003479055,2,18939
0.003490400,1,18754
0.003501740,2,18754
0.003513080,1,18119
0.003524420,2,18119
0.003535765,1,17657
0.003547105,2,17657
0.003558445,1,16718
0.003569785,2,16718
0.003581130,1,16719
0.003592470,2,16719
0.003603810,1,15001
0.003615155,2,15001
0.003626495,1,14317
0.003637835,2,14317
0.003649175,1,13424
0.003660520,2,13424
0.003671860,1,12373
0.003683200,2,12373
0.003694545,1,11322
0.003705885,2,11322
0.003717225,1,10365
0.003728565,2,10365
0.003739910,1,9137
0.003751250,2,9137
0.003762590,1,8042
0.003773935,2,8042
0.003785275,1,7008
0.003796615,2,7008
0.003807955,1,5772
0.003819300,2,5772
0.003830640,1,4401
0.003841980,2,4401
0.003853320,1,3478
0.003864665,2,3478
0.003876005,1,1916
0.003887345,2,1916
0.003898685,1,393
0.003910030,2,393
0.003921370,1,64783
0.003932710,2,64783
0.003944055,1,63549
0.003955395,2,63549
0.003966735,1,62478
0.003978075,2,62478
0.003989420,1,61071
0.004000760,2,61071
0.004012100,1,59642
0.004023445,2,59642
0.004034785,1,58415
0.004046125,2,58415
0.004057465,1,57334
0.004068810,2,57334
0.004080150,1,55793
0.004091490,2,55793
0.004102830,1,54388
0.004114175,2,54388
0.004125515,1,53278
0.004136855,2,53278
0.004148200,1,52091
0.004159540,2,52091
0.004170880,1,51181
0.004182220,2,51181
0.004193565,1,49954
0.004204905,2,49954
0.004216245,1,49000
0.004227585,2,49000
0.004238930,1,48575
0.004250270,2,48575
0.004261610,1,47655
0.004272955,2,47655
0.004284295,1,46797
0.004295635,2,46797
0.004306975,1,46570
0.004318320,2,46570
0.004329660,1,46024
0.004341000,2,46024
0.004352340,1,45674
0.004363685,2,45674
0.004375025,1,45492
0.004386365,2,45492
0.004397710,1,44869
0.004409050,2,44869
0.004420390,1,44670
0.004431730,2,44670
0.004443075,1,44404
0.004454415,2,44404
0.004465755,1,44151
0.004477100,2,44151
0.004488440,1,43881
0.004499780,2,43881
0.004511120,1,44423
0.004522465,2,44423
0.004533805,1,44302
0.004545145,2,44302
0.004556490,1,44656
0.004567830,2,44656
0.004579170,1,44657
0.004590510,2,44657
0.004601855,1,45483
0.004613195,2,45483
0.004624535,1,45721
0.004635875,2,45721
0.004647220,1,46470
0.004658560,2,46470
0.004669900,1,47101
0.004681245,2,47101
0.004692585,1,47441
0.004703925,2,47441
0.004715265,1,48548
0.004726610,2,48548
0.004737950,1,49417
0.004749290,2,49417
0.004760635,1,50188
0.004771975,2,50188
0.004783315,1,50934
0.004794655,2,50934
0.004806000,1,51699
0.004817340,2,51699
0.004828680,1,52566
0.004840020,2,52566
0.004851365,1,53618
0.004862705,2,53618
0.004874045,1,54662
0.004885390,2,54662
0.004896730,1,56163
0.004908070,2,56163
0.004919410,1,57167
0.004930750,2,57167
0.004942095,1,58343
0.004953435,2,58343
0.004964775,1,59517
0.004976120,2,59517
0.004987460,1,60997
0.004998800,2,60997
0.005010145,1,62130
0.005021485,2,62130
0.005032825,1,63483
0.005044165,2,63483
0.005055510,1,65102
0.005066850,2,65102
0.005078190,1,466
0.005089530,2,466
0.005100875,1,2059
0.005112215,2,2059
0.005123555,1,3235
0.005134900,2,3235
0.005146240,1,4289
